shot,method,mean_acc,std_acc,min_acc,lower_bound,epoch_time_avg,n_folds
20,Baseline,18.7,2.7748873851023217,15.0,15.925112614897678,0.30628967428207393,5
20,RandAugment,11.6,1.6355427233796125,9.5,9.964457276620386,0.6155931100845338,5
20,SAS,19.5,2.345207879911715,16.0,17.154792120088285,0.4065126972198486,5
50,Baseline,30.2,2.33238075793812,26.8,27.867619242061878,0.7525808806419372,5
50,RandAugment,27.360000000000003,0.7797435475847163,26.8,26.580256452415288,1.5258785524368288,5
50,SAS,30.800000000000004,1.3784048752090232,28.4,29.421595124790983,0.9996488251686095,5
100,Baseline,35.48,2.304777646542069,32.9,33.175222353457926,1.451490402698517,5
100,RandAugment,30.940000000000005,0.6465291950097846,30.0,30.29347080499022,2.9869296605587,5
100,SAS,37.4,1.3619838471876238,36.0,36.038016152812375,1.9467064764499664,5
200,Baseline,36.65,1.076452507080548,35.5,35.57354749291945,2.9634439363479617,5
200,RandAugment,30.310000000000002,1.5876082640248508,28.55,28.72239173597515,6.06239539361,5
200,SAS,36.0,1.6658331248957667,34.2,34.33416687510423,3.965747437477112,5
